id,created_at,nume,email,telefon,data,ora,persoane,mesaj,status
b292807d-bdb5-4266-9e65-7a97b86e8564,2026-03-29 12:08:08.116969+00,Ana Radu,ana@yahoo.com,0776890123,2026-04-16,14:00:00,2,Venim cu un copil mic.,confirmed
b6361f1e-1543-42b5-9174-0aa81045e072,2026-03-29 12:08:08.116969+00,Elena Dumitrescu,elena@outlook.com,0754678901,2026-04-14,12:00:00,3,Alerg la gluten.,confirmed
c8a10447-0bea-47a6-953c-d81b14568ff6,2026-03-29 12:08:08.116969+00,Andrei Constantin,andrei@gmail.com,0743567890,2026-04-23,11:00:00,2,,cancelled
cce80f9e-bd0d-4b80-bbfd-d17acd4a7552,2026-03-29 12:08:08.116969+00,Maria Popescu,maria@yahoo.com,0732456789,2026-04-22,10:00:00,2,Aniversare.,cancelled
d1e73586-b0a9-4e93-88e4-81da90800603,2026-03-29 12:08:08.116969+00,Mihai Georgescu,mihai@gmail.com,0765789012,2026-04-25,13:00:00,4,,cancelled
da2a337d-d6f7-49c0-8ea1-75d318a6eac6,2026-03-29 12:08:08.116969+00,Cristian Popa,cristi@gmail.com,0787901234,2026-04-07,15:00:00,5,,pending
edbe7c90-9530-4e51-9f8c-df4a62f5f8bd,2026-03-29 12:08:08.116969+00,Bogdan Marin,bogdan@yahoo.com,0709123456,2026-04-29,18:00:00,2,Prima vizită!,cancelled
f02c144c-7cfe-4bd6-b6eb-8641f66052ee,2026-03-29 12:08:08.116969+00,Laura Nistor,laura@gmail.com,0710234567,2026-04-30,19:00:00,6,Ziua de naștere.,cancelled
f7641492-7a90-467d-833d-7639f6d9b42c,2026-03-29 12:08:08.116969+00,Andrei Constantin,andrei@gmail.com,0743567890,2026-04-13,11:00:00,2,,confirmed
fd9129be-0bd4-4617-92ad-da1e21b09a48,2026-03-29 12:08:08.116969+00,Alexandru Ionescu,alex@gmail.com,0721345678,2026-04-01,09:00:00,1,"Loc la fereastră, vă rog.",pending
fda891fb-b78c-413d-9502-a681cc8f82bd,2026-03-29 12:08:08.116969+00,Ana Radu,ana@yahoo.com,0776890123,2026-04-26,14:00:00,2,Venim cu un copil mic.,cancelled
